dimDiagnosisCodePK,DiagnosisCode,DiagnosisCodeDescription,DiagnosisCodeGroup
97676194,Z685,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107165991,Z683,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
84816893,Z683,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107105497,Z682,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
55217873,Z682,Persons encountering health services in other specified circumstances,Persons encountering health services in other circumstances
107182773,Z518,Other specified medical care,Persons encountering health services for specific procedures and health care
107190396,Z518,Other specified medical care,Persons encountering health services for specific procedures and health care
57373931,Z518,Other specified medical care,Persons encountering health services for specific procedures and health care
76505668,Z518,Other specified medical care,Persons encountering health services for specific procedures and health care
83993384,Z518,Other specified medical care,Persons encountering health services for specific procedures and health care
96672813,Z518,Other specified medical care,Persons encountering health services for specific procedures and health care
106831371,Z515,Palliative care,Persons encountering health services for specific procedures and health care
107034893,Z515,Palliative care,Persons encountering health services for specific procedures and health care
107387765,Z515,Palliative care,Persons encountering health services for specific procedures and health care
107391465,Z515,Palliative care,Persons encountering health services for specific procedures and health care
107406237,Z515,Palliative care,Persons encountering health services for specific procedures and health care
105392886,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
106070029,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
106883489,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
107174381,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
108386753,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
55888561,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
58141816,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
59512499,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
61611241,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
61761907,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
62942651,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
64678375,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
69999599,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
70395401,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
72366481,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
73315177,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
73615902,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
73988492,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
82092311,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
83457178,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
83687148,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
85838953,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
87360313,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
89610952,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
90956735,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
94172889,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
95949081,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
97603746,Z510,Radiotherapy session,Persons encountering health services for specific procedures and health care
107666829,Z488,Other specified surgical follow-up care,Persons encountering health services for specific procedures and health care
81900442,Z480,Attention to surgical dressings and sutures,Persons encountering health services for specific procedures and health care
107424526,Z471,Other orthopaedic follow-up care,Persons encountering health services for specific procedures and health care
107641722,Z471,Other orthopaedic follow-up care,Persons encountering health services for specific procedures and health care
93253811,Z468,Fitting and adjustment of other specified devices,Persons encountering health services for specific procedures and health care
80375842,Z466,Fitting and adjustment of urinary device,Persons encountering health services for specific procedures and health care
69404202,Z458,Adjustment and management of other implanted devices,Persons encountering health services for specific procedures and health care
83796741,Z452,Adjustment and management of vascular access device,Persons encountering health services for specific procedures and health care
64072303,Z450,Adjustment and management of cardiac pacemaker,Persons encountering health services for specific procedures and health care
72857657,Z450,Adjustment and management of cardiac pacemaker,Persons encountering health services for specific procedures and health care
80837794,Z450,Adjustment and management of cardiac pacemaker,Persons encountering health services for specific procedures and health care
107242601,Z436,Attention to other artificial openings of urinary tract,Persons encountering health services for specific procedures and health care
103301444,Z431,Attention to gastrostomy,Persons encountering health services for specific procedures and health care
107365193,Z431,Attention to gastrostomy,Persons encountering health services for specific procedures and health care
88299648,Z421,Follow-up care involving plastic surgery of breast,Persons encountering health services for specific procedures and health care
68324156,Z412,Routine and ritual circumcision,Persons encountering health services for specific procedures and health care
55272427,Z392,Routine postpartum follow-up,Persons encountering health services in circumstances related to reproduction
88688143,Z383,"Twin, born in hospital",Persons encountering health services in circumstances related to reproduction
75787441,Z382,"Singleton, unspecified as to place of birth",Persons encountering health services in circumstances related to reproduction
107171432,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
107195182,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
107232304,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
107370353,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
107408228,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
107447892,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
107452427,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
74235325,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
76909916,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
83260551,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
84186612,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
89712664,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
92124841,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
92797782,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
93694728,Z380,"Singleton, born in hospital",Persons encountering health services in circumstances related to reproduction
107219031,Z368,Other antenatal screening,Persons encountering health services in circumstances related to reproduction
69727667,Z368,Other antenatal screening,Persons encountering health services in circumstances related to reproduction
87978461,Z368,Other antenatal screening,Persons encountering health services in circumstances related to reproduction
97138272,Z368,Other antenatal screening,Persons encountering health services in circumstances related to reproduction
98410723,Z368,Other antenatal screening,Persons encountering health services in circumstances related to reproduction
99150406,Z368,Other antenatal screening,Persons encountering health services in circumstances related to reproduction
106065995,Z362,Other antenatal screening based on amniocentesis,Persons encountering health services in circumstances related to reproduction
56095508,Z349,"Supervision of normal pregnancy, unspecified",Persons encountering health services in circumstances related to reproduction
53593735,Z348,Supervision of other normal pregnancy,Persons encountering health services in circumstances related to reproduction
64115657,Z348,Supervision of other normal pregnancy,Persons encountering health services in circumstances related to reproduction
93792384,Z348,Supervision of other normal pregnancy,Persons encountering health services in circumstances related to reproduction
93801417,Z348,Supervision of other normal pregnancy,Persons encountering health services in circumstances related to reproduction
74079804,Z340,Supervision of normal first pregnancy,Persons encountering health services in circumstances related to reproduction
79929856,Z340,Supervision of normal first pregnancy,Persons encountering health services in circumstances related to reproduction
73213904,Z320,"Pregnancy, not (yet) confirmed",Persons encountering health services in circumstances related to reproduction
75676175,Z320,"Pregnancy, not (yet) confirmed",Persons encountering health services in circumstances related to reproduction
61161798,Z314,Procreative investigation and testing,Persons encountering health services in circumstances related to reproduction
73727372,Z309,"Contraceptive management, unspecified",Persons encountering health services in circumstances related to reproduction
74743516,Z304,Surveillance of contraceptive drugs,Persons encountering health services in circumstances related to reproduction
80268379,Z304,Surveillance of contraceptive drugs,Persons encountering health services in circumstances related to reproduction
96467697,Z304,Surveillance of contraceptive drugs,Persons encountering health services in circumstances related to reproduction
88778182,Z302,Sterilization,Persons encountering health services in circumstances related to reproduction
82751185,Z300,General counselling and advice on contraception,Persons encountering health services in circumstances related to reproduction
85208945,Z300,General counselling and advice on contraception,Persons encountering health services in circumstances related to reproduction
86013136,Z300,General counselling and advice on contraception,Persons encountering health services in circumstances related to reproduction
107171979,Z23,Need for immunization against single bacterial diseases,Persons with potential health hazards related to communicable diseases
107178695,Z23,Need for immunization against single bacterial diseases,Persons with potential health hazards related to communicable diseases
85081024,Z23,Need for immunization against single bacterial diseases,Persons with potential health hazards related to communicable diseases
107226519,Z206,Contact with and exposure to human immunodeficiency virus [HIV],Persons with potential health hazards related to communicable diseases
72121344,Z206,Contact with and exposure to human immunodeficiency virus [HIV],Persons with potential health hazards related to communicable diseases
107120782,Z202,Contact with and exposure to infections with a predominantly sexual mode of transmission,Persons with potential health hazards related to communicable diseases
77296688,Z202,Contact with and exposure to infections with a predominantly sexual mode of transmission,Persons with potential health hazards related to communicable diseases
107265084,Z150,Special screening examination for other specified diseases and disorders,Persons encountering health services for examination and investigation
53758369,Z138,Special screening examination for other specified diseases and disorders,Persons encountering health services for examination and investigation
57056014,Z138,Special screening examination for other specified diseases and disorders,Persons encountering health services for examination and investigation
76227113,Z138,Special screening examination for other specified diseases and disorders,Persons encountering health services for examination and investigation
84019867,Z138,Special screening examination for other specified diseases and disorders,Persons encountering health services for examination and investigation
88869102,Z138,Special screening examination for other specified diseases and disorders,Persons encountering health services for examination and investigation
107108451,Z124,Special screening examination for neoplasm of cervix,Persons encountering health services for examination and investigation
107762432,Z124,Special screening examination for neoplasm of cervix,Persons encountering health services for examination and investigation
57363875,Z124,Special screening examination for neoplasm of cervix,Persons encountering health services for examination and investigation
66701715,Z124,Special screening examination for neoplasm of cervix,Persons encountering health services for examination and investigation
55554914,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
56477353,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
61053494,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
75010632,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
88031261,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
91411701,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
93823353,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
95623716,Z123,Special screening examination for neoplasm of breast,Persons encountering health services for examination and investigation
86175656,Z122,Special screening examination for neoplasm of respiratory organs,Persons encountering health services for examination and investigation
59625776,Z121,Special screening examination for neoplasm of intestinal tract,Persons encountering health services for examination and investigation
69032957,Z121,Special screening examination for neoplasm of intestinal tract,Persons encountering health services for examination and investigation
70690939,Z121,Special screening examination for neoplasm of intestinal tract,Persons encountering health services for examination and investigation
78481036,Z121,Special screening examination for neoplasm of intestinal tract,Persons encountering health services for examination and investigation
83623087,Z121,Special screening examination for neoplasm of intestinal tract,Persons encountering health services for examination and investigation
90612858,Z121,Special screening examination for neoplasm of intestinal tract,Persons encountering health services for examination and investigation
107099962,Z115,Special screening examination for other viral diseases,Persons encountering health services for examination and investigation
107210377,Z114,Special screening examination for human immunodeficiency virus [HIV],Persons encountering health services for examination and investigation
72523716,Z113,Special screening examination for infections with a predominantly sexual mode of transmission,Persons encountering health services for examination and investigation
72856048,Z113,Special screening examination for infections with a predominantly sexual mode of transmission,Persons encountering health services for examination and investigation
87859625,Z111,Special screening examination for respiratory tuberculosis,Persons encountering health services for examination and investigation
107108526,Z09,Follow-up examination after treatment for conditions other than malignant neoplasm,Persons encountering health services for examination and investigation
107120205,Z09,Follow-up examination after treatment for conditions other than malignant neoplasm,Persons encountering health services for examination and investigation
107573773,Z09,Follow-up examination after treatment for conditions other than malignant neoplasm,Persons encountering health services for examination and investigation
65385601,Z09,Follow-up examination after treatment for conditions other than malignant neoplasm,Persons encountering health services for examination and investigation
72197818,Z09,Follow-up examination after treatment for conditions other than malignant neoplasm,Persons encountering health services for examination and investigation
101753751,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
66923501,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
72554198,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
73135443,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
76944777,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
76995874,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
86164395,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
88197448,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
99478373,Z08,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
107449146,Z051,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
108536635,Z051,Follow-up examination after treatment for malignant neoplasms,Persons encountering health services for examination and investigation
92436314,Z043,Examination and observation following other accident,Persons encountering health services for examination and investigation
83935154,Z025,Examination for participation in sport,Persons encountering health services for examination and investigation
107150007,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107155542,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107164821,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107168976,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107169611,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107187382,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107233017,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107281741,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107371495,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107427301,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
57642898,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
60568701,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
65260579,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
74904531,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
81286604,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
93044359,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
93785155,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
94390768,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
97514517,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
99928853,Z018,Other specified special examinations,Persons encountering health services for examination and investigation
107109119,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107114113,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107115153,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107121482,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107125743,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107129753,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107131204,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107151977,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107155571,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107160829,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107170301,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107202961,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107231947,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107246775,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107249513,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107262349,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107269892,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107282125,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107285808,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107299993,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107413291,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107473854,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107474657,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107485055,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107505527,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107521718,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
107659289,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
108546395,Z014,Gynaecological examination (general)(routine),Persons encountering health services for examination and investigation
